"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","lsa.data.op"
"1",26734.1233374801,6068.14073822562,17098.3408012548,6582.15160688427,15215.2096338192,4427.31985406249,14937.5182424862,9124.75743479833,12368.7514219487,8475.50507595263,11604.5636362504,11518.5100088326,11795.751654742,10726.0460356972,11795.8137614378,1
"2",12145.9989366924,11331.6900154896,11586.185870625,11608.2119812414,11618.5132145554,11529.1233349468,11555.4317705638,11504.2386676662,11620.05350253,11532.9334086961,11467.9742637419,11541.2536288565,11574.6902520436,11552.8046996774,11267.690768261,2
"3",12355.1272733247,11439.8258673943,11530.0458843876,11628.7227849327,11348.648240892,11636.5071427752,11633.4891028696,11440.3243160215,11539.4026685992,11417.1679729187,11535.6723799744,11534.8321974125,11572.5073808793,11475.3051624149,11453.6399867688,2
"4",12990.9060102951,10983.9941392877,11423.5361941588,11762.8740106523,11757.4593303362,11598.3336274498,11552.2793285813,11492.4459920864,11817.2622260921,11628.910163246,11325.7900670967,11639.7271741211,11377.0774762229,11540.2708009954,10399.6907419851,2
"5",13015.6530344585,10673.0308760253,12534.9584431382,11235.297477862,11610.640289199,12008.2354161381,11119.4137394351,12104.7497876768,11512.2146308725,11819.4803747231,11784.6086922985,11678.9768379772,11492.1767677909,11580.3597976292,11689.0409113743,2
"6",13081.1852376982,10558.4667395699,12255.3647211258,10834.6803956483,11510.4647828722,12280.4199376141,11225.1563810612,12569.9392141495,11447.2516899619,11998.8653660774,12118.9125300423,11864.4264231339,11371.9212843701,11647.5347842916,11798.9334546254,2
"7",16298.7464853706,9401.86978888416,13232.8575040165,10291.5782833702,12591.5924499165,11220.4408544164,11337.1571757497,12138.5403101577,11289.5921394689,11438.2131713068,12060.9840649931,11741.3599947287,11856.2280684149,11459.9293450602,11533.0066736987,2
"8",21576.6424352243,7601.65208746053,6093.79705986063,8887.19866480306,8908.14225468704,11294.4187665264,16180.9086285698,12603.604157985,10386.5611259631,15805.5611734625,10811.7628403486,12223.806050368,11272.6148381248,11929.6397478708,11036.4155372757,3
"9",15190.7726508418,11120.9784093352,11355.9512216407,11690.1304888036,10380.6327553054,11226.5043612133,12602.6617648216,12244.7204235333,11363.9128745463,12051.3650573461,10943.4416546293,11062.8175401904,11467.7101346924,10449.3111886682,11682.7662300514,2
"10",14602.6316031331,10579.2157416354,10741.5768452149,12124.4193666441,11815.550523546,11947.8959756858,11520.8964535805,11133.2692705101,12266.2131895646,11728.4239272879,11362.9855905891,11551.8347568917,11362.9397256287,11316.3957913656,11211.2048438451,2
"11",14238.4620761817,11764.0279838961,11373.6792595061,12285.1493465062,12013.1307758546,11692.9179712041,11598.065703922,11645.238477913,11179.4267342903,11180.9517924369,11645.2371855816,11441.6876790306,11161.1930113622,11851.4516900845,11666.3563405835,2
"12",23851.5971037849,11897.3309639464,9266.46073145505,12404.0908354055,14688.2907000924,10655.6904784965,9557.09850804054,13461.6616505671,7775.05248482396,11683.7559250984,11921.1919884087,11800.4807023404,15027.114428956,9353.77318265391,11906.5664320283,4
"13",24829.6010843333,5531.71736787088,19406.9257686462,9962.94537608612,11047.0203796892,16849.9202764599,8776.15625933982,15841.6972697726,11806.7581511059,12337.3477693852,13219.0990035136,11895.7053364372,11492.9073320703,12239.9166933581,12183.8311266371,5
"14",21151.1068424542,13259.0661217708,10702.4296531583,12637.1818874301,10032.3324945346,13258.8289842491,14347.0310724113,16913.6597526559,14226.8246687004,6757.41549817958,6935.96368806504,12202.9541461231,13515.4238391076,12898.068859727,11728.8336929389,6
"15",14241.3873160172,10431.1370364078,11992.6070355691,12002.8831229248,11073.8920160713,12277.6280074283,11703.6789827246,11277.6974815572,11442.5831004415,11019.466923292,11326.3003679217,11314.4693112479,11598.06871721,11584.3071528835,10953.7190956781,2
"16",16111.5479909002,10605.9301171529,12957.5897559336,11608.3034115273,11376.7599441363,10682.5739836073,11558.4277672002,11719.7425654351,11507.4485103357,12096.4487426093,10782.1984240181,10859.7136981827,11024.7718797529,10769.2942148969,11186.4286148519,2
"17",16246.66650474,10786.005041342,10950.4358487966,11536.5333762876,12716.9742886636,11706.3443348263,11772.7502078881,11868.5394291282,10935.6925863139,11886.7483240068,11836.3706348224,11483.3011360578,11977.4619312295,11335.8657772014,11419.0137430616,2
"18",14178.5872958559,10652.1259230225,12155.0324614414,11187.5023815449,11823.765756744,10890.3053045343,11658.8953384863,11782.4509292348,11649.7353311862,11462.7944094786,11340.1289152575,11429.2929597902,11214.8065382028,11701.9113951717,11503.1596227274,2
"19",17387.0456872091,10507.4112235203,10933.0888695557,11376.1613445445,9966.24272516916,12060.393200104,12717.7322539042,11309.6705143509,11724.8422507702,11420.0234577812,12002.1460331167,11153.7252806945,11897.9130686176,10608.8874343806,11369.6947775316,2
"20",12365.2011824183,11177.3735877746,11611.3622024231,11617.4036484421,11586.040124633,11659.1891594684,11619.7986645169,11387.0712344666,11538.1859174962,11383.2966620844,11513.1996041605,11510.1970917129,11603.4971614744,11535.4641573082,11375.212622785,2
"21",13055.4184544805,10857.3514867743,11816.5761497355,11590.1932834096,11574.9349737838,11752.8955527296,11562.0327082352,11493.3812946162,11549.8631865747,11445.3588720725,11424.7028879518,11544.7068668908,11461.8669794122,11327.8748961534,11139.3103568776,2
"22",13663.9579503593,11317.8377000786,11419.6032697494,11653.729089854,11245.9300769254,11766.4120064352,11684.0912215971,11594.3377522499,11759.1098590338,11308.4470800527,11801.2877629981,11585.6503675387,11759.2766098131,11476.2255975399,11586.6465623763,2
"23",12567.6769044535,11160.8423060825,11614.4865487577,11644.6782204234,11490.6641351383,11782.2379875041,11607.4827114467,11215.4176400109,11534.7170905636,11491.0156720097,11328.580279835,11493.6513972479,11447.7500178967,11435.0313058805,10762.4350150579,2
"24",29766.0072707326,15260.2905130225,14746.9933045713,14275.9043706171,9424.86247856461,10250.0311566906,7703.39956659637,7891.41939742248,9497.65820788571,14298.0344774977,7451.72019118997,14090.3361570568,12650.1225852494,13311.98242136,11465.1332051462,7
"25",11865.3204518776,11533.3247266881,11482.3891194821,11612.5316918029,11595.2517519217,11556.7234509942,11643.5138734212,11544.3759521103,11607.6088200424,11541.6673765774,11537.981604207,11527.1145862241,11560.9459115768,11516.908990864,11543.6526628106,2
"26",16778.1413702769,11032.4569503744,9665.81021883372,13017.0370250854,13900.0875310725,12194.9704058837,11831.3705365578,11756.5556464785,11237.6170139446,11485.9453988458,12006.3398884341,11593.860913459,11357.8959493138,11707.886292744,11710.2638808381,2
"27",22236.5860509965,12450.7197162255,15224.5685231775,8701.63835196011,13033.2162165766,9513.97946619196,10736.1678172615,10014.1180932054,12252.6390344015,12141.7201571762,9768.47811653202,12450.3473872761,10439.4614836557,13660.6023858293,13141.4015502408,8
"28",27655.5187537383,4108.86423335975,0,6340.75564198946,7568.10101359646,10750.5456970464,5856.32331231699,10688.1206000484,13255.3683796555,9934.95233508327,11570.9386149887,11450.0559148491,10727.8477842291,11740.4983069786,12198.644078049,9
"29",16708.1087062775,10183.4449659426,9873.42166897291,10768.8250759709,9214.24619513096,11668.6226602372,16806.0495524525,11861.9763983536,9784.09933323325,13886.1288428037,11993.4169625143,11545.1923125816,12059.079381064,13335.768949581,12683.2537536943,3
"30",20557.2779893177,10845.0164977218,13495.4294916829,12887.3184987356,9238.69237889688,11189.3987964509,11256.7059540309,12507.6628491184,11803.6217296809,11839.3066922359,11220.2628842481,10745.1070926941,11170.2566490301,9548.20837551735,10987.8734098848,2
"31",21526.9661668156,9272.71828838475,8766.26399032176,16152.5836100529,16133.626959939,13459.1109403618,12792.926827705,9937.35441112417,15155.6273840836,12939.8545201733,11601.3221861861,11071.2486755271,10467.8323001784,11315.5136995989,13454.0998292126,10
"32",12764.9066740912,10882.4333866222,12020.7330339466,11474.7781098822,11440.0858200475,11690.7396353691,11560.6785466718,11698.7808654171,11562.0556382148,11556.0547043505,11512.2499819367,11488.3402374788,11450.7829495117,11351.6808227397,11397.7614934416,2
"33",18447.670922414,9568.19357775355,11141.1078536102,13836.0939377882,14444.9828839593,11163.3297716658,10874.6118664677,10978.9112602664,11161.2551121996,11927.3658971694,11467.1824595317,11302.556833492,13968.3961484914,11314.4140329423,10302.526094512,2
"34",12219.6515902072,11544.3497219522,11483.4584346071,11655.9151308626,11527.1875956697,11571.9283283061,11506.0779234457,11583.8158855365,11654.5735372061,11548.2722189872,11606.2494508606,11498.4043677994,11508.5604727401,11538.3464493505,11438.108348765,2
"35",16290.4517907601,12650.7302247289,10939.1192593828,11256.1501584423,11016.0195683614,12086.4549607724,12221.5957586132,12040.5971633558,11802.1215814808,10867.1390587734,12316.913943936,11261.4511414852,11428.1813426808,11520.6580361206,11427.5246938243,2
"36",12077.4737129121,11351.0741867249,11494.9003040159,11636.4700722248,11650.1132765972,11591.1372894302,11546.3182849148,11552.7109424169,11624.5718109636,11531.5858183461,11403.5348170856,11548.1192181947,11512.5071134085,11535.252764022,10948.8656778706,2
"37",20262.9242294936,10781.0548206279,10483.9966533971,12649.9678857161,12833.9071016792,12634.0708263371,11554.0423184395,11073.9277708233,11845.6090521168,10885.2541046635,11753.4229690891,11256.945049789,12373.1410678845,12107.704200378,11948.7556270048,2
"38",23369.1629129511,8626.2799011218,9811.39934982491,16607.1976510311,15877.3275082811,12474.9508873765,12007.2400475489,10524.9666894719,15253.7397438018,13277.4651057467,10756.9586691073,11157.5042355279,11447.7790421011,10814.0649680701,11703.1720303782,10
"39",18575.7071433237,10102.7864509887,9783.03579182748,11951.1928647921,12019.3418596591,10055.3919520823,11227.2436340876,13261.5113581415,9911.98277728554,12189.2862718498,11900.053642016,10834.1783589032,15283.3410136846,10759.2953000998,12048.7529545688,4
"40",13253.1988435867,11178.865521865,11669.3995562023,11792.5248112818,11078.2395934989,12070.4579165931,11865.4378135487,11012.7481972415,11433.5291170919,11118.5478674201,11708.8228737404,11211.6473353616,11703.3886437113,11501.9965770706,11602.2619370612,2
"41",13033.768597942,11519.5071371322,11562.6713725821,12333.0132067263,11505.7322092653,11386.8172814277,11422.1739897318,11640.6816548414,11718.9541921097,11521.863268268,11639.1854978015,11685.5512527403,11568.8759099932,11610.2170222572,11583.4403395739,2
"42",21134.9054588516,17875.6869591744,10924.7530688959,9808.38841259968,10606.253506018,12990.936042717,12326.6615956047,11629.3337779251,10318.0210067394,11761.3393106803,8661.91796919623,11323.0836919168,9078.57455938912,6610.59785157503,12943.8196792474,11
"43",14555.6239447944,11142.2183582068,10741.1868968248,12409.3066140012,12411.0045289676,11800.0304934667,11646.6785590505,11550.1873931124,11487.1025594354,11707.6445530147,11446.8100796435,11685.382859747,12103.968658953,11741.0496663843,11438.2481457975,2
"44",20127.4097466675,6829.39709690158,14264.3392031251,12523.3415702279,8086.14596467997,17329.8378032998,13422.176902016,5255.40600383318,8642.91096847701,8658.42158069312,11654.206827746,8577.11530932211,12518.6286271416,11591.972885244,12129.5642207995,12
"45",15436.6925696981,11129.3338299713,11152.8950291284,11402.1998058896,12657.3885477334,11054.1186159971,10833.035729443,11662.8030074042,10566.1923820886,11219.3820174854,11903.9176157589,11197.4340543057,12227.2275893696,11489.0171311841,11335.9236879508,2
"46",20075.9563787016,16879.3592366525,10887.8702463713,10204.5711851591,11248.7188054732,12354.762229096,11708.718656367,11781.9787142344,10716.9443607704,11095.5630758435,11647.2436333876,11414.2425824503,10666.5404013098,11573.9350853367,11510.2517380338,2
"47",21060.858578322,12286.6043037753,9074.37176065873,10642.2815035655,11569.9496188765,11620.0869080227,14987.1714861291,12521.6297885744,10027.9577536638,12218.2504295942,11932.5228274104,11724.8051328003,11292.0494532073,12633.452525117,12018.5967636151,3
"48",22257.548598604,10773.6499201983,13121.328177923,17970.6227007215,7879.4543890164,6443.76182071231,10393.4304502954,14440.2244640337,10383.2186433276,11614.065568486,11707.1685971033,6204.09599016595,9360.86545267068,12543.9496619619,11665.1313809101,13
"49",12763.4911781547,11037.6182067252,11724.1032081014,11743.6342420931,11283.5309090163,11931.9124739841,11732.6559359514,11045.4372892792,11391.5740011567,11210.5787898596,11518.8413646192,11410.6081764932,11631.0467791202,11509.2488740754,11446.6191344753,2
"50",17877.6876091855,14422.7322738494,12081.2221595746,11610.212192932,10594.915278115,12379.1911709589,11558.2062401606,11056.8999270489,11963.5858752785,10474.5573304226,9253.15622390943,11944.5589035361,11382.2284628385,11730.1206488665,11858.3499755253,2
"51",26833.1819233744,14912.6686401632,7863.82771195838,12011.1528641582,18047.4910638327,12989.9940383926,11240.5219179779,12615.0351815422,6837.00068567884,8949.37572519643,12717.3849135144,12331.1710891434,8060.73017322062,13180.4279717667,10814.3069874392,14
"52",16676.7150032809,9880.15451435949,10508.9737643328,11654.4509085054,11400.5448631814,12214.490811991,12472.7672387711,10833.4380724358,11920.1950287022,11523.1721127789,10288.9567384517,11457.1682330988,11011.5399065564,11415.8841647433,6383.57549088154,15
"53",12940.7235414245,11137.821074803,11353.0203613219,11784.7618495229,11485.1418214979,11746.6158198913,11536.9519602249,11330.8356928115,11698.8382952998,11411.490577948,11557.1540426497,11516.4319352997,11641.0545486701,11590.0597800239,11423.2327177201,2
"54",25080.6265406541,12962.4498049144,11640.14818002,17921.9683504532,5944.01507207136,9568.64156570713,12810.6948489904,10827.2039346779,12256.1564725263,9426.95114455274,15780.0393513669,16794.5063295545,11136.0065870052,10637.9949498504,11561.6564290564,16
"55",14063.4601275729,10345.0964951761,11209.9350209249,11551.0454488367,11703.9824965533,11803.5700218461,11643.9322510713,11164.3343761927,11886.9861706245,11541.3661397348,10907.2077142369,11503.4692837979,11256.8804201483,11427.0684104571,8632.62157635481,15
"56",14351.6811174882,11135.7326269331,12256.7178370154,13191.6211923929,10868.3082839932,10257.4217925877,10888.7844876149,12037.820655236,11372.558364147,11797.5691780883,11180.8467644154,10453.4017014313,10962.5974332088,12063.8890541231,11555.2007841218,2
"57",16527.7090390188,10703.9688935824,10954.4995367335,13120.5454506123,12446.4055956748,12201.5989484183,11822.3898944723,10926.9847868703,12007.8234782891,11377.0523396874,11643.2730518412,11564.9032120263,11599.0923217453,11591.4459441209,11621.8584783755,2
"58",34954.4472976677,24675.791575467,12338.5097783482,7223.73900718744,10943.0534151682,12314.9281505925,11389.8173556245,10696.2524798681,15077.9003069858,12680.6903093895,14903.7155546367,8992.78602833176,13187.2598105648,12189.4538073917,10608.8584882257,17
"59",14459.8209821235,10380.4751121874,10511.2181978639,12110.8919992427,12150.8193765111,12010.3035977452,12041.9464250362,11117.0970713401,12414.6422111954,12351.0205275331,11313.1442199493,11569.9220424008,10923.6889700144,11309.2089261244,11390.8810894981,2
"60",26171.2120300665,6470.35377257995,18148.9967652035,9284.59209255542,11516.0160884415,12812.8609034017,11210.6332383924,13469.2235727256,11676.5398194564,13154.3881693782,11790.702538346,12952.3997703598,9952.56499943311,10565.5594678552,10796.1837676932,18
