id,Ram,Dhananjay,Guru,Ashutosh
ChittaBaral--CaroleJeanWu,N,N,N,N
ChittaBaral--TeresaWu,N,Y,N,N
ChittaBaral--GuoliangXue,N,Y,N,N
ChittaBaral--YezhouYang,N,N,N,N
ChittaBaral--StephenSYau,N,N,N,N
RidaBazzi--HeniBenAmor,N,N,N,N
RidaBazzi--NadyaBliss,Y,Y,Y,N
RidaBazzi--KSelcukCandan,N,Y,N,N
RidaBazzi--YinongChen,Y,Y,Y,Y
RidaBazzi--CharlesColbourn,N,Y,N,N
RidaBazzi--JamesCollofello,N,N,N,N
RidaBazzi--ParthaDasgupta,Y,N,Y,Y
RidaBazzi--HasanDavulcu,N,Y,N,N
RidaBazzi--AdamDoupe,Y,N,Y,Y
RidaBazzi--GeorgiosFainekos,N,Y,N,N
RidaBazzi--AshrafGaffar,N,N,N,N
RidaBazzi--KevinGary,N,Y,N,N
RidaBazzi--EsmaGel,N,Y,N,N
RidaBazzi--JavierGonzalezSanchez,N,Y,N,N
RidaBazzi--SandeepGupta,N,N,Y,Y
RidaBazzi--DianneHansford,N,N,N,N
RidaBazzi--JingruiHe,N,N,N,N
RidaBazzi--DijiangHuang,Y,Y,N,Y
RidaBazzi--SubbaraoKambhampati,N,N,N,N
RidaBazzi--JoohyungLee,N,N,N,N
RidaBazzi--YannHangLee,N,Y,Y,N
RidaBazzi--BaoxinLi,N,Y,N,N
RidaBazzi--TimLindquist,N,N,N,N
RidaBazzi--RossMaciejewski,N,N,N,N
RidaBazzi--RyanMeuth,N,Y,N,N
RidaBazzi--PituMirchandani,N,N,N,N
RidaBazzi--BrianNelson,N,Y,N,N
RidaBazzi--RongPan,N,N,N,N
RidaBazzi--SethuramanPanchanathan,N,N,N,N
RidaBazzi--PaoloPapotti,N,N,N,N
RidaBazzi--GiuliaPedrielli,N,Y,N,N
RidaBazzi--FengboRen,N,N,N,N
RidaBazzi--AndreaWRicha,N,N,N,N
RidaBazzi--GeorgeRunger,N,Y,N,N
RidaBazzi--HessamSarjoughian,N,Y,N,N
RidaBazzi--MohamedSarwat,N,Y,N,N
RidaBazzi--ArunabhaSen,N,Y,N,N
RidaBazzi--PauloShakarian,Y,N,Y,N
RidaBazzi--AviralShrivastava,N,Y,N,N
RidaBazzi--DanShunk,N,Y,N,N
RidaBazzi--VioletSyrotiuk,N,N,N,N
RidaBazzi--HanghangTong,N,N,N,N
RidaBazzi--KurtVanLehn,N,Y,N,N
RidaBazzi--JReneVillalobos,N,N,N,N
RidaBazzi--SarmaVrudhula,N,N,N,N
RidaBazzi--ErinWalker,N,N,N,N
RidaBazzi--CaroleJeanWu,N,Y,N,N
RidaBazzi--TeresaWu,N,N,N,N
RidaBazzi--GuoliangXue,Y,N,Y,N
RidaBazzi--YezhouYang,N,Y,N,N
RidaBazzi--StephenSYau,Y,N,Y,Y
HeniBenAmor--NadyaBliss,N,Y,N,N
HeniBenAmor--KSelcukCandan,N,N,N,N
HeniBenAmor--YinongChen,N,N,N,N
HeniBenAmor--CharlesColbourn,N,Y,N,N
HeniBenAmor--JamesCollofello,N,N,N,N
HeniBenAmor--ParthaDasgupta,N,Y,N,N
HeniBenAmor--HasanDavulcu,N,N,N,N
HeniBenAmor--AdamDoupe,N,Y,N,N
HeniBenAmor--GeorgiosFainekos,Y,Y,Y,N
HeniBenAmor--AshrafGaffar,Y,N,N,N
HeniBenAmor--KevinGary,N,N,N,N
HeniBenAmor--EsmaGel,N,Y,N,N
HeniBenAmor--JavierGonzalezSanchez,N,Y,N,N
HeniBenAmor--SandeepGupta,N,Y,N,N
HeniBenAmor--DianneHansford,N,N,N,N
HeniBenAmor--JingruiHe,Y,N,Y,Y
HeniBenAmor--DijiangHuang,N,Y,N,N
HeniBenAmor--SubbaraoKambhampati,Y,Y,N,Y
HeniBenAmor--JoohyungLee,N,N,N,N
HeniBenAmor--YannHangLee,N,N,N,N
HeniBenAmor--BaoxinLi,N,N,N,N
HeniBenAmor--TimLindquist,N,N,N,N
HeniBenAmor--RossMaciejewski,N,Y,N,N
HeniBenAmor--RyanMeuth,N,N,N,N
HeniBenAmor--PituMirchandani,N,Y,N,N
HeniBenAmor--BrianNelson,N,Y,N,N
HeniBenAmor--RongPan,N,N,N,N
HeniBenAmor--SethuramanPanchanathan,N,N,N,N
HeniBenAmor--PaoloPapotti,N,N,N,N
HeniBenAmor--GiuliaPedrielli,N,N,N,N
HeniBenAmor--FengboRen,N,N,N,N
HeniBenAmor--AndreaWRicha,N,Y,N,N
HeniBenAmor--GeorgeRunger,N,Y,N,N
HeniBenAmor--HessamSarjoughian,N,Y,N,N
HeniBenAmor--MohamedSarwat,N,Y,N,N
HeniBenAmor--ArunabhaSen,N,Y,N,N
HeniBenAmor--PauloShakarian,Y,Y,Y,N
HeniBenAmor--AviralShrivastava,N,Y,N,N
HeniBenAmor--DanShunk,N,N,N,N
HeniBenAmor--VioletSyrotiuk,N,N,N,N
HeniBenAmor--HanghangTong,Y,Y,Y,Y
HeniBenAmor--KurtVanLehn,Y,N,Y,Y
HeniBenAmor--JReneVillalobos,N,N,N,N
HeniBenAmor--SarmaVrudhula,N,N,N,N
HeniBenAmor--ErinWalker,N,Y,N,N
HeniBenAmor--CaroleJeanWu,N,Y,N,N
HeniBenAmor--TeresaWu,N,Y,N,N
HeniBenAmor--GuoliangXue,N,N,N,N
HeniBenAmor--YezhouYang,Y,Y,N,Y
HeniBenAmor--StephenSYau,N,N,N,N
NadyaBliss--KSelcukCandan,Y,N,N,N
NadyaBliss--YinongChen,N,Y,Y,N
NadyaBliss--CharlesColbourn,N,Y,N,N
NadyaBliss--JamesCollofello,N,N,N,N
NadyaBliss--ParthaDasgupta,Y,Y,Y,N
NadyaBliss--HasanDavulcu,Y,N,N,N
NadyaBliss--AdamDoupe,Y,Y,Y,N
NadyaBliss--GeorgiosFainekos,N,Y,N,N
NadyaBliss--AshrafGaffar,N,Y,N,N
NadyaBliss--KevinGary,N,N,N,N
NadyaBliss--EsmaGel,N,N,N,N
NadyaBliss--JavierGonzalezSanchez,N,Y,N,N
NadyaBliss--SandeepGupta,N,N,Y,N
NadyaBliss--DianneHansford,N,Y,N,N
NadyaBliss--JingruiHe,N,Y,N,N
NadyaBliss--DijiangHuang,N,N,N,Y
NadyaBliss--SubbaraoKambhampati,N,N,N,N
NadyaBliss--JoohyungLee,N,Y,N,N
NadyaBliss--YannHangLee,N,N,Y,N
NadyaBliss--BaoxinLi,N,N,N,N
NadyaBliss--TimLindquist,N,N,N,N
NadyaBliss--RossMaciejewski,Y,N,N,Y
NadyaBliss--RyanMeuth,N,N,N,N
NadyaBliss--PituMirchandani,N,Y,N,N
NadyaBliss--BrianNelson,N,Y,N,N
NadyaBliss--RongPan,N,Y,N,N
NadyaBliss--SethuramanPanchanathan,N,Y,N,N
NadyaBliss--PaoloPapotti,N,Y,N,Y
NadyaBliss--GiuliaPedrielli,N,Y,N,N
NadyaBliss--FengboRen,Y,N,N,N
NadyaBliss--AndreaWRicha,N,N,N,Y
NadyaBliss--GeorgeRunger,N,Y,N,N
NadyaBliss--HessamSarjoughian,N,Y,N,N
NadyaBliss--MohamedSarwat,N,Y,N,Y
NadyaBliss--ArunabhaSen,N,Y,N,N
NadyaBliss--PauloShakarian,Y,N,Y,N
NadyaBliss--AviralShrivastava,N,N,N,N
NadyaBliss--DanShunk,N,Y,N,N
NadyaBliss--VioletSyrotiuk,N,Y,N,N
NadyaBliss--HanghangTong,N,N,N,N
NadyaBliss--KurtVanLehn,N,N,N,N
NadyaBliss--JReneVillalobos,N,N,N,N
NadyaBliss--SarmaVrudhula,N,N,N,N
NadyaBliss--ErinWalker,N,Y,N,N
NadyaBliss--CaroleJeanWu,N,Y,N,N
NadyaBliss--TeresaWu,N,N,N,N
NadyaBliss--GuoliangXue,Y,N,Y,N
NadyaBliss--YezhouYang,N,N,N,N
NadyaBliss--StephenSYau,Y,N,Y,N
KSelcukCandan--YinongChen,N,Y,N,N
KSelcukCandan--CharlesColbourn,N,Y,N,N
KSelcukCandan--JamesCollofello,N,N,N,N
KSelcukCandan--ParthaDasgupta,N,N,N,N
KSelcukCandan--HasanDavulcu,Y,Y,Y,Y
KSelcukCandan--AdamDoupe,N,N,N,N
KSelcukCandan--GeorgiosFainekos,N,Y,N,N
KSelcukCandan--AshrafGaffar,N,Y,N,N
KSelcukCandan--KevinGary,N,Y,N,N
KSelcukCandan--EsmaGel,N,N,N,N
KSelcukCandan--JavierGonzalezSanchez,N,N,N,N
KSelcukCandan--SandeepGupta,N,N,N,N
KSelcukCandan--DianneHansford,N,N,N,N
KSelcukCandan--JingruiHe,N,N,N,N
KSelcukCandan--DijiangHuang,N,N,N,N
KSelcukCandan--SubbaraoKambhampati,N,Y,N,N
KSelcukCandan--JoohyungLee,N,Y,N,N
KSelcukCandan--YannHangLee,N,Y,N,N
KSelcukCandan--BaoxinLi,N,N,N,N
KSelcukCandan--TimLindquist,N,N,N,N
KSelcukCandan--RossMaciejewski,N,Y,N,N
KSelcukCandan--RyanMeuth,N,N,N,N
KSelcukCandan--PituMirchandani,N,N,N,N
KSelcukCandan--BrianNelson,N,Y,N,N
KSelcukCandan--RongPan,N,N,N,N
KSelcukCandan--SethuramanPanchanathan,N,Y,N,N
KSelcukCandan--PaoloPapotti,N,N,Y,Y
KSelcukCandan--GiuliaPedrielli,N,Y,N,N
KSelcukCandan--FengboRen,N,Y,N,N
KSelcukCandan--AndreaWRicha,N,Y,N,N
KSelcukCandan--GeorgeRunger,N,N,N,N
KSelcukCandan--HessamSarjoughian,N,Y,N,N
KSelcukCandan--MohamedSarwat,Y,Y,N,Y
KSelcukCandan--ArunabhaSen,N,N,N,N
KSelcukCandan--PauloShakarian,N,N,N,N
KSelcukCandan--AviralShrivastava,N,N,N,N
KSelcukCandan--DanShunk,N,N,N,N
KSelcukCandan--VioletSyrotiuk,N,Y,N,N
KSelcukCandan--HanghangTong,N,N,N,N
KSelcukCandan--KurtVanLehn,N,Y,N,N
KSelcukCandan--JReneVillalobos,N,N,N,N
KSelcukCandan--SarmaVrudhula,N,N,N,N
KSelcukCandan--ErinWalker,N,N,N,N
KSelcukCandan--CaroleJeanWu,N,Y,N,N
KSelcukCandan--TeresaWu,N,N,N,N
KSelcukCandan--GuoliangXue,N,Y,N,N
KSelcukCandan--YezhouYang,N,N,N,N
KSelcukCandan--StephenSYau,N,N,N,N
YinongChen--CharlesColbourn,N,Y,N,N
YinongChen--JamesCollofello,N,N,N,N
YinongChen--ParthaDasgupta,Y,Y,Y,N
YinongChen--HasanDavulcu,N,N,N,N
YinongChen--AdamDoupe,N,Y,N,N
YinongChen--GeorgiosFainekos,N,Y,Y,Y
YinongChen--AshrafGaffar,N,Y,N,N
YinongChen--KevinGary,N,Y,N,N
YinongChen--EsmaGel,N,N,N,N
YinongChen--JavierGonzalezSanchez,N,Y,N,N
YinongChen--SandeepGupta,Y,Y,Y,Y
YinongChen--DianneHansford,N,N,N,N
YinongChen--JingruiHe,N,Y,N,N
YinongChen--DijiangHuang,N,Y,N,N
YinongChen--SubbaraoKambhampati,N,Y,N,N
YinongChen--JoohyungLee,N,N,Y,N
YinongChen--YannHangLee,Y,N,N,N
YinongChen--BaoxinLi,N,Y,N,N
YinongChen--TimLindquist,N,N,Y,N
YinongChen--RossMaciejewski,N,Y,N,N
YinongChen--RyanMeuth,N,N,N,N
YinongChen--PituMirchandani,N,Y,N,N
YinongChen--BrianNelson,N,Y,N,N
YinongChen--RongPan,N,N,N,N
YinongChen--SethuramanPanchanathan,N,Y,N,N
YinongChen--PaoloPapotti,N,N,N,N
YinongChen--GiuliaPedrielli,N,N,N,N
YinongChen--FengboRen,N,Y,Y,N
YinongChen--AndreaWRicha,N,N,Y,N
YinongChen--GeorgeRunger,N,N,N,N
YinongChen--HessamSarjoughian,N,N,N,N
YinongChen--MohamedSarwat,N,N,N,N
YinongChen--ArunabhaSen,N,N,N,N
YinongChen--PauloShakarian,N,Y,N,N
YinongChen--AviralShrivastava,N,N,Y,N
YinongChen--DanShunk,N,N,N,N
YinongChen--VioletSyrotiuk,N,N,N,N
YinongChen--HanghangTong,N,N,N,N
YinongChen--KurtVanLehn,N,N,N,N
YinongChen--JReneVillalobos,N,N,N,N
YinongChen--SarmaVrudhula,N,Y,N,N
YinongChen--ErinWalker,N,Y,N,N
YinongChen--CaroleJeanWu,N,Y,N,N
YinongChen--TeresaWu,N,Y,N,N
YinongChen--GuoliangXue,N,N,N,N
YinongChen--YezhouYang,N,N,N,N
YinongChen--StephenSYau,Y,N,Y,N
CharlesColbourn--JamesCollofello,N,Y,N,N
CharlesColbourn--ParthaDasgupta,N,Y,N,N
CharlesColbourn--HasanDavulcu,N,Y,N,N
CharlesColbourn--AdamDoupe,N,Y,N,N
CharlesColbourn--GeorgiosFainekos,N,N,N,N
CharlesColbourn--AshrafGaffar,N,Y,N,N
CharlesColbourn--KevinGary,N,Y,N,N
CharlesColbourn--EsmaGel,N,N,N,Y
CharlesColbourn--JavierGonzalezSanchez,N,N,N,N
CharlesColbourn--SandeepGupta,N,Y,N,N
CharlesColbourn--DianneHansford,N,Y,N,N
CharlesColbourn--JingruiHe,N,N,N,N
CharlesColbourn--DijiangHuang,N,Y,N,N
CharlesColbourn--SubbaraoKambhampati,N,Y,N,N
CharlesColbourn--JoohyungLee,N,N,N,N
CharlesColbourn--YannHangLee,N,Y,N,N
CharlesColbourn--BaoxinLi,N,N,N,N
CharlesColbourn--TimLindquist,N,N,N,N
CharlesColbourn--RossMaciejewski,N,Y,N,N
CharlesColbourn--RyanMeuth,N,Y,N,N
CharlesColbourn--PituMirchandani,N,N,N,N
CharlesColbourn--BrianNelson,N,N,N,N
CharlesColbourn--RongPan,N,N,N,N
CharlesColbourn--SethuramanPanchanathan,N,Y,N,N
CharlesColbourn--PaoloPapotti,N,N,N,N
CharlesColbourn--GiuliaPedrielli,N,N,N,N
CharlesColbourn--FengboRen,N,N,N,N
CharlesColbourn--AndreaWRicha,N,N,Y,Y
CharlesColbourn--GeorgeRunger,N,Y,N,N
CharlesColbourn--HessamSarjoughian,N,N,N,N
CharlesColbourn--MohamedSarwat,N,N,N,N
CharlesColbourn--ArunabhaSen,Y,Y,Y,N
CharlesColbourn--PauloShakarian,N,N,N,N
CharlesColbourn--AviralShrivastava,N,Y,N,N
CharlesColbourn--DanShunk,N,Y,N,N
CharlesColbourn--VioletSyrotiuk,N,Y,Y,N
CharlesColbourn--HanghangTong,N,Y,N,N
CharlesColbourn--KurtVanLehn,N,Y,N,N
CharlesColbourn--JReneVillalobos,N,N,N,N
CharlesColbourn--SarmaVrudhula,N,Y,N,N
CharlesColbourn--ErinWalker,N,N,N,N
CharlesColbourn--CaroleJeanWu,N,Y,N,N
CharlesColbourn--TeresaWu,N,Y,N,N
CharlesColbourn--GuoliangXue,N,Y,N,N
CharlesColbourn--YezhouYang,N,N,N,N
CharlesColbourn--StephenSYau,N,N,N,N
JamesCollofello--ParthaDasgupta,N,Y,N,N
JamesCollofello--HasanDavulcu,N,Y,N,N
JamesCollofello--AdamDoupe,N,Y,N,N
JamesCollofello--GeorgiosFainekos,Y,N,N,N
JamesCollofello--AshrafGaffar,N,N,N,N
JamesCollofello--KevinGary,Y,Y,N,N
JamesCollofello--EsmaGel,N,Y,N,N
JamesCollofello--JavierGonzalezSanchez,Y,Y,Y,N
JamesCollofello--SandeepGupta,N,N,N,N
JamesCollofello--DianneHansford,N,Y,N,N
JamesCollofello--JingruiHe,N,N,N,N
JamesCollofello--DijiangHuang,N,Y,N,N
JamesCollofello--SubbaraoKambhampati,N,Y,N,N
JamesCollofello--JoohyungLee,N,N,N,N
JamesCollofello--YannHangLee,N,Y,N,N
JamesCollofello--BaoxinLi,N,Y,N,N
JamesCollofello--TimLindquist,Y,N,Y,Y
JamesCollofello--RossMaciejewski,N,N,N,N
JamesCollofello--RyanMeuth,N,Y,N,N
JamesCollofello--PituMirchandani,N,Y,N,N
JamesCollofello--BrianNelson,N,Y,N,N
JamesCollofello--RongPan,N,Y,N,N
JamesCollofello--SethuramanPanchanathan,N,Y,N,N
JamesCollofello--PaoloPapotti,N,N,N,N
JamesCollofello--GiuliaPedrielli,N,Y,N,N
JamesCollofello--FengboRen,N,N,N,N
JamesCollofello--AndreaWRicha,N,Y,N,N
JamesCollofello--GeorgeRunger,N,N,N,N
JamesCollofello--HessamSarjoughian,N,Y,N,N
JamesCollofello--MohamedSarwat,N,Y,N,N
JamesCollofello--ArunabhaSen,N,Y,N,N
JamesCollofello--PauloShakarian,N,Y,N,N
JamesCollofello--AviralShrivastava,N,Y,N,N
JamesCollofello--DanShunk,N,Y,N,N
JamesCollofello--VioletSyrotiuk,N,Y,N,N
JamesCollofello--HanghangTong,N,N,N,N
JamesCollofello--KurtVanLehn,N,N,N,N
JamesCollofello--JReneVillalobos,N,N,N,N
JamesCollofello--SarmaVrudhula,N,Y,N,N
JamesCollofello--ErinWalker,N,Y,N,N
JamesCollofello--CaroleJeanWu,N,Y,N,N
JamesCollofello--TeresaWu,N,Y,N,N
JamesCollofello--GuoliangXue,N,Y,N,N
JamesCollofello--YezhouYang,N,N,N,N
JamesCollofello--StephenSYau,Y,N,Y,N
ParthaDasgupta--HasanDavulcu,N,Y,N,N
ParthaDasgupta--AdamDoupe,Y,Y,Y,Y
ParthaDasgupta--GeorgiosFainekos,N,N,N,N
ParthaDasgupta--AshrafGaffar,N,Y,N,N
ParthaDasgupta--KevinGary,N,Y,N,N
ParthaDasgupta--EsmaGel,N,Y,N,N
ParthaDasgupta--JavierGonzalezSanchez,N,Y,N,N
ParthaDasgupta--SandeepGupta,Y,Y,Y,N
ParthaDasgupta--DianneHansford,N,N,N,N
ParthaDasgupta--JingruiHe,N,Y,N,N
ParthaDasgupta--DijiangHuang,Y,Y,N,N
ParthaDasgupta--SubbaraoKambhampati,N,Y,N,N
ParthaDasgupta--JoohyungLee,N,Y,N,N
ParthaDasgupta--YannHangLee,Y,Y,Y,Y
ParthaDasgupta--BaoxinLi,N,N,N,N
ParthaDasgupta--TimLindquist,N,N,N,N
ParthaDasgupta--RossMaciejewski,N,Y,N,N
ParthaDasgupta--RyanMeuth,N,Y,N,N
ParthaDasgupta--PituMirchandani,N,Y,N,N
ParthaDasgupta--BrianNelson,N,Y,N,N
ParthaDasgupta--RongPan,N,N,N,N
ParthaDasgupta--SethuramanPanchanathan,N,N,N,Y
ParthaDasgupta--PaoloPapotti,N,Y,N,N
ParthaDasgupta--GiuliaPedrielli,N,Y,N,N
ParthaDasgupta--FengboRen,N,Y,N,N
ParthaDasgupta--AndreaWRicha,N,Y,N,N
ParthaDasgupta--GeorgeRunger,N,Y,N,N
ParthaDasgupta--HessamSarjoughian,N,N,N,N
ParthaDasgupta--MohamedSarwat,N,Y,N,N
ParthaDasgupta--ArunabhaSen,N,N,N,N
ParthaDasgupta--PauloShakarian,Y,Y,Y,N
ParthaDasgupta--AviralShrivastava,N,N,N,N
ParthaDasgupta--DanShunk,N,N,N,N
ParthaDasgupta--VioletSyrotiuk,N,N,N,N
ParthaDasgupta--HanghangTong,N,N,N,N
ParthaDasgupta--KurtVanLehn,N,Y,N,N
ParthaDasgupta--JReneVillalobos,N,N,N,N
ParthaDasgupta--SarmaVrudhula,N,Y,N,N
ParthaDasgupta--ErinWalker,N,Y,N,N
ParthaDasgupta--CaroleJeanWu,N,Y,N,N
ParthaDasgupta--TeresaWu,N,Y,N,N
ParthaDasgupta--GuoliangXue,Y,N,Y,N
ParthaDasgupta--YezhouYang,N,N,N,N
ParthaDasgupta--StephenSYau,Y,N,Y,N
HasanDavulcu--AdamDoupe,N,Y,N,N
HasanDavulcu--GeorgiosFainekos,N,Y,N,N
HasanDavulcu--AshrafGaffar,N,N,N,N
HasanDavulcu--KevinGary,N,N,N,N
HasanDavulcu--EsmaGel,N,N,N,N
HasanDavulcu--JavierGonzalezSanchez,N,N,N,N
HasanDavulcu--SandeepGupta,N,Y,N,N
HasanDavulcu--DianneHansford,N,N,N,N
HasanDavulcu--JingruiHe,N,N,N,N
HasanDavulcu--DijiangHuang,N,N,N,N
HasanDavulcu--SubbaraoKambhampati,N,Y,N,N
HasanDavulcu--JoohyungLee,N,N,N,N
HasanDavulcu--YannHangLee,N,N,N,N
HasanDavulcu--BaoxinLi,N,N,N,N
HasanDavulcu--TimLindquist,N,Y,N,N
HasanDavulcu--RossMaciejewski,N,N,N,N
HasanDavulcu--RyanMeuth,N,Y,N,N
HasanDavulcu--PituMirchandani,N,Y,N,N
HasanDavulcu--BrianNelson,N,Y,N,Y
HasanDavulcu--RongPan,N,Y,N,N
HasanDavulcu--SethuramanPanchanathan,N,N,N,N
HasanDavulcu--PaoloPapotti,Y,N,Y,Y
HasanDavulcu--GiuliaPedrielli,N,N,N,N
HasanDavulcu--FengboRen,N,Y,N,N
HasanDavulcu--AndreaWRicha,N,N,N,N
HasanDavulcu--GeorgeRunger,Y,Y,N,Y
HasanDavulcu--HessamSarjoughian,N,Y,N,N
HasanDavulcu--MohamedSarwat,Y,Y,N,Y
HasanDavulcu--ArunabhaSen,N,Y,N,N
HasanDavulcu--PauloShakarian,N,Y,N,N
HasanDavulcu--AviralShrivastava,N,N,N,N
HasanDavulcu--DanShunk,N,N,N,N
HasanDavulcu--VioletSyrotiuk,N,Y,N,N
HasanDavulcu--HanghangTong,Y,N,N,Y
HasanDavulcu--KurtVanLehn,N,Y,N,N
HasanDavulcu--JReneVillalobos,N,N,N,N
HasanDavulcu--SarmaVrudhula,N,N,N,N
HasanDavulcu--ErinWalker,N,Y,N,N
HasanDavulcu--CaroleJeanWu,N,Y,N,N
HasanDavulcu--TeresaWu,N,Y,N,N
HasanDavulcu--GuoliangXue,N,Y,N,N
HasanDavulcu--YezhouYang,N,N,N,N
HasanDavulcu--StephenSYau,N,N,N,N
AdamDoupe--GeorgiosFainekos,N,Y,N,Y
AdamDoupe--AshrafGaffar,N,N,N,N
AdamDoupe--KevinGary,N,N,N,N
AdamDoupe--EsmaGel,N,N,N,N
AdamDoupe--JavierGonzalezSanchez,N,N,N,N
AdamDoupe--SandeepGupta,N,N,N,Y
AdamDoupe--DianneHansford,N,Y,N,N
AdamDoupe--JingruiHe,N,Y,N,N
AdamDoupe--DijiangHuang,Y,N,N,N
AdamDoupe--SubbaraoKambhampati,N,Y,N,N
AdamDoupe--JoohyungLee,N,N,N,N
AdamDoupe--YannHangLee,N,N,N,N
AdamDoupe--BaoxinLi,N,Y,N,N
AdamDoupe--TimLindquist,N,Y,N,N
AdamDoupe--RossMaciejewski,N,N,N,N
AdamDoupe--RyanMeuth,N,Y,N,N
AdamDoupe--PituMirchandani,N,Y,N,N
AdamDoupe--BrianNelson,N,Y,N,N
AdamDoupe--RongPan,N,N,N,N
